가게이름,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,재료가 신선해요,가성비가 좋아요,양이 많아요,인테리어가 멋져요,혼밥하기 좋아요,링크
홍구삼겹,0.401,0.275,0.092,0.042,0.12,0.028,0.042,0,0,https://m.place.naver.com/restaurant/30808648/review/visitor
무채색 숲,0.243,0.216,0.158,0.147,0,0.045,0,0.192,0,https://m.place.naver.com/restaurant/1083602155/review/visitor
강남 돼지상회 무한리필 홍대점,0.258,0.151,0.033,0.058,0.099,0.233,0.168,0,0,https://m.place.naver.com/restaurant/1777390319/review/visitor
대림국수 연남점,0.251,0.159,0.151,0.092,0.088,0.105,0.059,0.046,0.05,https://m.place.naver.com/restaurant/1862718376/review/visitor
감나무집기사식당,0.453,0.082,0,0,0.051,0.136,0.13,0,0.148,https://m.place.naver.com/restaurant/12985100/review/visitor
수라간,0.39,0.219,0,0.074,0.128,0.041,0.101,0.046,0,https://m.place.naver.com/restaurant/1063954725/review/visitor
연남제비,0.371,0.224,0.095,0.118,0.123,0,0.028,0.039,0,https://m.place.naver.com/restaurant/1090105095/review/visitor
숲길정육점,0.449,0.149,0.123,0.038,0.13,0.051,0.06,0,0,https://m.place.naver.com/restaurant/1276500986/review/visitor
평화연남,0.404,0.147,0.094,0.03,0.115,0.034,0.134,0.042,0,https://m.place.naver.com/restaurant/1874989869/review/visitor
바다회사랑,0.382,0.089,0.116,0.016,0.225,0.06,0.112,0,0,https://m.place.naver.com/restaurant/18799565/review/visitor
풍천장어,0.4,0.195,0.055,0.033,0.203,0.052,0.062,0,0,https://m.place.naver.com/restaurant/11824418/review/visitor
월강부산돼지국밥,0.407,0.076,0.029,0.028,0.081,0.075,0.191,0,0.113,https://m.place.naver.com/restaurant/32799839/review/visitor
화씨이육공 연남점,0.293,0.206,0.063,0.16,0.127,0.042,0,0.109,0,https://m.place.naver.com/restaurant/1199238297/review/visitor
화설 연남점,0.257,0.179,0.087,0.14,0.114,0.076,0.064,0.082,0,https://m.place.naver.com/restaurant/1303451450/review/visitor
아뜨뜨,0.35,0.111,0.138,0.094,0.099,0.026,0.062,0.035,0.084,https://m.place.naver.com/restaurant/1346211149/review/visitor
풍년숯불갈비,0.332,0.212,0.038,0.111,0.12,0.12,0.066,0,0,https://m.place.naver.com/restaurant/18800778/review/visitor
대승곱창 홍대점,0.297,0.248,0.046,0.147,0.116,0.039,0.053,0.054,0,https://m.place.naver.com/restaurant/1934133001/review/visitor
최사장네닭,0.311,0.15,0.055,0.021,0.049,0.197,0.127,0,0.091,https://m.place.naver.com/restaurant/36909159/review/visitor
우미집 1947,0.245,0.206,0.119,0.147,0.101,0,0.02,0.161,0,https://m.place.naver.com/restaurant/1093809527/review/visitor
덴키 부타야,0.232,0.183,0.07,0.141,0.049,0.021,0.092,0.049,0.162,https://m.place.naver.com/restaurant/1846689151/review/visitor
연남친친,0.206,0.136,0.195,0.068,0.138,0.05,0.034,0.129,0.043,https://m.place.naver.com/restaurant/1803405521/review/visitor
송가네감자탕 본점,0.369,0.164,0.05,0.064,0.078,0.108,0.112,0,0.055,https://m.place.naver.com/restaurant/11632310/review/visitor
탕탕,0.295,0.089,0.066,0.02,0.061,0.224,0.201,0.028,0.015,https://m.place.naver.com/restaurant/38010024/review/visitor
작가식당,0.291,0.205,0.127,0.077,0.105,0.082,0.091,0.023,0,https://m.place.naver.com/restaurant/778485723/review/visitor
꿀돼지집,0.378,0.19,0.098,0.033,0.093,0.079,0.101,0.028,0,https://m.place.naver.com/restaurant/1447063578/review/visitor
이억만껍데기,0.403,0.141,0.084,0.024,0.089,0.159,0.1,0,0,https://m.place.naver.com/restaurant/1703927354/review/visitor
봉쥬르밥상,0.438,0.156,0.094,0.062,0.094,0.031,0.016,0.062,0.047,https://m.place.naver.com/restaurant/33920482/review/visitor
오이소 연남본점,0.302,0.176,0.031,0.089,0.095,0.114,0.093,0,0.101,https://m.place.naver.com/restaurant/1742698212/review/visitor
회의,0.293,0.205,0.197,0.151,0.058,0,0,0.097,0,https://m.place.naver.com/restaurant/1471695103/review/visitor
연남광안리,0.294,0.193,0.111,0.061,0.182,0.062,0.066,0.03,0,https://m.place.naver.com/restaurant/1297204864/review/visitor
돈조세,0.388,0.089,0.021,0.021,0.051,0.363,0.059,0,0.008,https://m.place.naver.com/restaurant/19942829/review/visitor
그믐족발 연남점,0.307,0.16,0.213,0.069,0.055,0.027,0.134,0.035,0,https://m.place.naver.com/restaurant/1362092844/review/visitor
녹원쌈밥 연남점,0.326,0.156,0.036,0.107,0.239,0.049,0.07,0,0.017,https://m.place.naver.com/restaurant/1348102450/review/visitor
오복수산시장,0.314,0.135,0.157,0.049,0.211,0.043,0.059,0.032,0,https://m.place.naver.com/restaurant/674179089/review/visitor
애정오뎅,0.416,0.157,0.096,0.066,0.066,0.091,0,0.061,0.046,https://m.place.naver.com/restaurant/1023565308/review/visitor
연남화로,0.301,0.254,0.086,0.068,0.094,0.091,0,0.105,0,https://m.place.naver.com/restaurant/1051445603/review/visitor
연남곱창타운,0.549,0.162,0.043,0.047,0.095,0.036,0.047,0.02,0,https://m.place.naver.com/restaurant/398689412/review/visitor
미소국수,0.343,0.13,0.012,0.035,0.051,0.165,0.11,0,0.154,https://m.place.naver.com/restaurant/36262323/review/visitor
낭풍,0.342,0.157,0.012,0.093,0.068,0.151,0.176,0,0,https://m.place.naver.com/restaurant/493546299/review/visitor
골드식당 본점,0.375,0.174,0.052,0.049,0.059,0.181,0.08,0,0.031,https://m.place.naver.com/restaurant/1822391299/review/visitor
진어참치,0.272,0.178,0.115,0.042,0.21,0.078,0.087,0,0.019,https://m.place.naver.com/restaurant/1417206539/review/visitor
수을관,0.258,0.197,0.211,0.094,0.074,0,0,0.167,0,https://m.place.naver.com/restaurant/1895036093/review/visitor
코리아식당,0.326,0.174,0.084,0.026,0.113,0.074,0.113,0.026,0.065,https://m.place.naver.com/restaurant/31036949/review/visitor
연남 흑돼지,0.335,0.217,0.065,0.11,0.163,0.053,0.056,0,0,https://m.place.naver.com/restaurant/1013534030/review/visitor
연피랑,0.364,0.103,0.119,0.061,0.249,0,0,0.103,0,https://m.place.naver.com/restaurant/1040236089/review/visitor
종로계림닭도리탕원조 연남점,0.393,0.123,0.057,0.098,0.119,0.086,0.123,0,0,https://m.place.naver.com/restaurant/1993388905/review/visitor
봉화,0.383,0.17,0.117,0.053,0.074,0.064,0.032,0.106,0,https://m.place.naver.com/restaurant/38642345/review/visitor
동진전집,0.362,0.261,0,0.116,0.101,0.101,0,0,0.058,https://m.place.naver.com/restaurant/1262613360/review/visitor
연남궁,0.223,0.17,0.134,0.096,0.182,0.058,0.065,0.072,0,https://m.place.naver.com/restaurant/1705425061/review/visitor
연남정,0.33,0.175,0.037,0.027,0.109,0.201,0,0.007,0.113,https://m.place.naver.com/restaurant/1472837357/review/visitor
삶천식당,0.227,0.213,0.013,0.093,0.067,0.213,0.053,0,0.12,https://m.place.naver.com/restaurant/1377929798/review/visitor
명인갈비,0.488,0.152,0.031,0.066,0.083,0.127,0.053,0,0,https://m.place.naver.com/restaurant/1803480676/review/visitor
우탕,0.234,0.165,0.103,0.115,0.1,0.034,0.057,0.073,0.119,https://m.place.naver.com/restaurant/1484798126/review/visitor
곰면옥,0.294,0.131,0.028,0.035,0.103,0.106,0.142,0.007,0.152,https://m.place.naver.com/restaurant/1066873460/review/visitor
연희동할머니네,0.402,0.143,0,0.02,0.043,0.15,0.1,0,0.143,https://m.place.naver.com/restaurant/19886228/review/visitor
홍정기참치,0.252,0.162,0.145,0.107,0.211,0.053,0.07,0,0,https://m.place.naver.com/restaurant/1260603319/review/visitor
연남 칼국수,0.23,0.136,0.103,0.114,0.096,0.054,0.157,0.055,0.055,https://m.place.naver.com/restaurant/1108625845/review/visitor
우뜸,0.276,0.218,0.103,0.098,0.121,0.046,0,0.138,0,https://m.place.naver.com/restaurant/1469119459/review/visitor
회뜨는총각,0.361,0.094,0,0.037,0.241,0.183,0.058,0.016,0.01,https://m.place.naver.com/restaurant/1386739751/review/visitor
드럼통 숯불구이 연남점,0.294,0.195,0.048,0.108,0.156,0.113,0.065,0,0.022,https://m.place.naver.com/restaurant/1676369812/review/visitor
곱깨비 연남본점,0.419,0.081,0.058,0.093,0.07,0.093,0.116,0.07,0,https://m.place.naver.com/restaurant/1018144000/review/visitor
한성축산식당,0.347,0.156,0,0.023,0.133,0.202,0.139,0,0,https://m.place.naver.com/restaurant/36004752/review/visitor
국숯집,0.247,0.122,0.118,0.124,0.134,0.039,0.053,0.087,0.077,https://m.place.naver.com/restaurant/1216216728/review/visitor
연남고을집,0.394,0.103,0.029,0.043,0.083,0.113,0.128,0,0.107,https://m.place.naver.com/restaurant/1413669487/review/visitor
아필립,0.155,0.258,0.193,0.107,0.064,0.047,0,0.176,0,https://m.place.naver.com/restaurant/33877615/review/visitor
올레쭈꾸미,0.278,0.177,0.017,0.097,0.142,0.125,0.146,0,0.017,https://m.place.naver.com/restaurant/1697944670/review/visitor
소제이 연남점,0.244,0.219,0.139,0.125,0.114,0.035,0.05,0.074,0,https://m.place.naver.com/restaurant/1525469440/review/visitor
계륵장군 숯불닭갈비 연남점,0.446,0.14,0.091,0.066,0.091,0.091,0.074,0,0,https://m.place.naver.com/restaurant/771973025/review/visitor
엽전식당 연남점,0.218,0.153,0.076,0.082,0.088,0.124,0.124,0.094,0.041,https://m.place.naver.com/restaurant/1335983925/review/visitor
배꼽시계,0.352,0.214,0,0.05,0.094,0.176,0.082,0,0.031,https://m.place.naver.com/restaurant/36219892/review/visitor
미가해물탕찜,0.303,0.179,0.087,0.026,0.159,0.149,0.056,0,0.041,https://m.place.naver.com/restaurant/37544028/review/visitor
제주촌삼겹살,0.379,0.165,0.027,0.044,0.071,0.209,0.104,0,0,https://m.place.naver.com/restaurant/20883368/review/visitor
작은마을밥상,0.306,0.116,0.029,0.029,0.098,0.197,0.121,0,0.104,https://m.place.naver.com/restaurant/20863893/review/visitor
수유리찌개백반 연남점,0.39,0.136,0.039,0.039,0.039,0.162,0.156,0,0.039,https://m.place.naver.com/restaurant/1624055115/review/visitor
로야토야,0.255,0.164,0.1,0.143,0.177,0.045,0.032,0.085,0,https://m.place.naver.com/restaurant/13519428/review/visitor
요코쵸,0.471,0.121,0.192,0,0,0.065,0,0.152,0,https://m.place.naver.com/restaurant/38570861/review/visitor
우와 연남점,0.328,0.174,0.16,0.079,0.099,0.021,0.048,0.069,0.021,https://m.place.naver.com/restaurant/1225027833/review/visitor
규자카야 모토,0.472,0.17,0.202,0.073,0,0.083,0,0,0,https://m.place.naver.com/restaurant/36459005/review/visitor
쿠루미 사케&와인,0.233,0.217,0.15,0.2,0,0,0,0.2,0,https://m.place.naver.com/restaurant/1009553872/review/visitor
쿠시모토,0.24,0.11,0.083,0.06,0.16,0.173,0.07,0.09,0.013,https://m.place.naver.com/restaurant/1750453967/review/visitor
소점,0.295,0.206,0.143,0.018,0.077,0.068,0.113,0.044,0.036,https://m.place.naver.com/restaurant/1698144185/review/visitor
저스트텐동 연남본점,0.285,0.135,0.095,0.074,0.115,0.045,0.105,0.042,0.104,https://m.place.naver.com/restaurant/1651918728/review/visitor
로이소바,0.193,0.161,0.101,0.135,0.065,0.079,0.096,0.055,0.116,https://m.place.naver.com/restaurant/1499119401/review/visitor
연어롭다,0.396,0.101,0.132,0.042,0.176,0.037,0.075,0.028,0.015,https://m.place.naver.com/restaurant/1537918661/review/visitor
사루카메,0.311,0.141,0.182,0.057,0.08,0.03,0,0.034,0.165,https://m.place.naver.com/restaurant/1763607050/review/visitor
백식당,0.258,0.148,0.096,0.137,0.171,0.033,0,0.107,0.05,https://m.place.naver.com/restaurant/1242070068/review/visitor
하쿠텐라멘,0.273,0.183,0.131,0.035,0.059,0.07,0.077,0.009,0.161,https://m.place.naver.com/restaurant/1031219213/review/visitor
카쿠시타,0.381,0.123,0.172,0.027,0.091,0.046,0.084,0.048,0.026,https://m.place.naver.com/restaurant/1331305271/review/visitor
규카츠정 연남,0.292,0.237,0.078,0.155,0.114,0,0,0,0.125,https://m.place.naver.com/restaurant/1816808470/review/visitor
스시지현,0.319,0.166,0.059,0.079,0.17,0.084,0.03,0.02,0.072,https://m.place.naver.com/restaurant/1080811064/review/visitor
단디 연남점,0.367,0.157,0.115,0.113,0.068,0.031,0.037,0.051,0.06,https://m.place.naver.com/restaurant/1208774602/review/visitor
야키토리 묵,0.272,0.169,0.157,0.059,0.141,0.077,0.026,0.079,0.022,https://m.place.naver.com/restaurant/195609594/review/visitor
온정,0.237,0.145,0.059,0.104,0.131,0.052,0.092,0.048,0.132,https://m.place.naver.com/restaurant/1773796128/review/visitor
백화연남,0.338,0.126,0.099,0.105,0.08,0.044,0.048,0.05,0.109,https://m.place.naver.com/restaurant/1924293105/review/visitor
동차밥,0.282,0.163,0.067,0.133,0.183,0.033,0.107,0,0.032,https://m.place.naver.com/restaurant/35726772/review/visitor
쿄 라멘,0.271,0.136,0.116,0.047,0.063,0.114,0.106,0.007,0.141,https://m.place.naver.com/restaurant/1636571197/review/visitor
경양카츠 연남점,0.31,0.148,0.098,0.11,0.093,0.034,0.056,0.097,0.054,https://m.place.naver.com/restaurant/1128364627/review/visitor
쿠시파파,0.424,0.217,0.217,0.043,0,0.043,0,0.054,0,https://m.place.naver.com/restaurant/1124366262/review/visitor
야키토리 미식서울,0.296,0.157,0.153,0.064,0.118,0.087,0.018,0.082,0.027,https://m.place.naver.com/restaurant/1761113868/review/visitor
아카사니,0.368,0.162,0.214,0.098,0,0.09,0,0.068,0,https://m.place.naver.com/restaurant/1630030343/review/visitor
스탠딩박스,0.308,0.254,0.114,0.102,0,0.065,0,0.157,0,https://m.place.naver.com/restaurant/1047443712/review/visitor
유부,0.298,0.137,0.095,0.064,0.105,0.091,0.035,0.024,0.152,https://m.place.naver.com/restaurant/1249593173/review/visitor
심원,0.277,0.155,0.118,0.107,0.128,0.017,0.032,0.061,0.104,https://m.place.naver.com/restaurant/1329385225/review/visitor
모이정,0.475,0.286,0.153,0,0,0,0,0.086,0,https://m.place.naver.com/restaurant/1040324044/review/visitor
566라멘,0.228,0.076,0.152,0,0.051,0.063,0.253,0.025,0.152,https://m.place.naver.com/restaurant/1463639648/review/visitor
쿠보,0.258,0.263,0.094,0.15,0,0.103,0,0.131,0,https://m.place.naver.com/restaurant/1636076061/review/visitor
오복수산 연남점,0.359,0.105,0.069,0.087,0.182,0.018,0.023,0.023,0.133,https://m.place.naver.com/restaurant/1803099305/review/visitor
흑심돈카츠,0.323,0.118,0.096,0.091,0.106,0.036,0.128,0.036,0.066,https://m.place.naver.com/restaurant/1255182216/review/visitor
곤로 야끼니꾸,0.315,0.158,0.137,0.076,0.141,0.037,0,0.136,0,https://m.place.naver.com/restaurant/1872238260/review/visitor
키친숲,0.31,0.152,0.087,0.087,0.056,0.029,0.049,0.132,0.098,https://m.place.naver.com/restaurant/1774269591/review/visitor
모바면가 연남점,0.252,0.15,0.063,0.11,0.071,0.087,0.039,0.063,0.165,https://m.place.naver.com/restaurant/1250470567/review/visitor
하나라멘,0.273,0.155,0.064,0.085,0.067,0.082,0.118,0.016,0.139,https://m.place.naver.com/restaurant/1267633713/review/visitor
스시노백쉐프 홍대연남,0.283,0.166,0.099,0.097,0.154,0.095,0.056,0.051,0,https://m.place.naver.com/restaurant/519680842/review/visitor
무겐스위치,0.257,0.155,0.127,0.083,0.068,0.055,0.069,0.025,0.163,https://m.place.naver.com/restaurant/1490548135/review/visitor
노라,0.529,0.181,0.071,0,0,0.157,0,0.062,0,https://m.place.naver.com/restaurant/1978912101/review/visitor
우애돈카츠 연남점,0.23,0.17,0.052,0.131,0.12,0.042,0.107,0.041,0.107,https://m.place.naver.com/restaurant/1636096003/review/visitor
다인,0.251,0.182,0.105,0.117,0.113,0.018,0.038,0.071,0.107,https://m.place.naver.com/restaurant/1053948268/review/visitor
얹다,0.272,0.131,0.091,0.112,0.074,0.041,0.054,0.071,0.154,https://m.place.naver.com/restaurant/1193989433/review/visitor
단단,0.463,0.198,0.147,0,0,0.141,0,0.051,0,https://m.place.naver.com/restaurant/35689421/review/visitor
쿠루미 1호점,0.466,0.142,0.169,0.081,0,0,0,0.142,0,https://m.place.naver.com/restaurant/36406285/review/visitor
모츠모츠,0.354,0.202,0.136,0.093,0.105,0.016,0.047,0.047,0,https://m.place.naver.com/restaurant/1875624361/review/visitor
하나킨,0.427,0.181,0.134,0.07,0,0.109,0,0.079,0,https://m.place.naver.com/restaurant/1681173417/review/visitor
야키토리 지중,0.537,0.191,0.133,0,0,0.064,0,0.074,0,https://m.place.naver.com/restaurant/31306168/review/visitor
연남우아하게,0.235,0.202,0.147,0.13,0.071,0.042,0,0.139,0.034,https://m.place.naver.com/restaurant/1950070220/review/visitor
연남파도,0.309,0.213,0.176,0.154,0,0,0,0.149,0,https://m.place.naver.com/restaurant/1860135294/review/visitor
이노시시 연남본점,0.357,0.281,0.176,0.09,0,0.04,0,0.055,0,https://m.place.naver.com/restaurant/13269361/review/visitor
옥타,0.389,0.143,0.238,0.04,0,0.079,0,0.111,0,https://m.place.naver.com/restaurant/21848683/review/visitor
HONNE,0.248,0.145,0.206,0.024,0.091,0.018,0.091,0.012,0.164,https://m.place.naver.com/restaurant/523525227/review/visitor
다이닝 야경,0.399,0.213,0.149,0.096,0.064,0,0,0.08,0,https://m.place.naver.com/restaurant/1226730842/review/visitor
카시,0.521,0.205,0.174,0.042,0,0.058,0,0,0,https://m.place.naver.com/restaurant/38462398/review/visitor
연덮,0.201,0.145,0.039,0.093,0.137,0.124,0.136,0.022,0.102,https://m.place.naver.com/restaurant/1152277974/review/visitor
무명요리사,0.459,0.208,0.205,0.044,0,0.05,0,0.035,0,https://m.place.naver.com/restaurant/1064682887/review/visitor
사심스키야키 연남직영점,0.255,0.157,0.144,0.069,0.106,0.106,0.06,0.102,0,https://m.place.naver.com/restaurant/1537227002/review/visitor
에그써티,0.279,0.159,0.1,0.105,0.136,0.051,0.071,0.081,0.017,https://m.place.naver.com/restaurant/1035036284/review/visitor
카츠요,0.23,0.194,0.048,0.152,0.152,0.033,0.03,0.067,0.094,https://m.place.naver.com/restaurant/1072376209/review/visitor
나카스하이볼클럽,0.202,0.226,0.218,0.097,0,0,0,0.234,0.024,https://m.place.naver.com/restaurant/1458007430/review/visitor
산왕반점,0.382,0.088,0.101,0.018,0.055,0.217,0.083,0,0.055,https://m.place.naver.com/restaurant/37027002/review/visitor
마라연화,0.22,0.125,0.129,0.151,0.091,0,0.069,0.216,0,https://m.place.naver.com/restaurant/1542402051/review/visitor
상해소흘,0.46,0.107,0.188,0.013,0.055,0.1,0.065,0.006,0.006,https://m.place.naver.com/restaurant/1251267977/review/visitor
리리마카오,0.296,0.17,0.129,0.105,0.063,0.066,0.052,0.071,0.048,https://m.place.naver.com/restaurant/1201517666/review/visitor
미미램양꼬치,0.323,0.078,0.078,0.02,0.064,0.282,0.155,0,0,https://m.place.naver.com/restaurant/1414485182/review/visitor
판다딤섬,0.24,0.175,0.163,0.142,0.082,0.098,0.032,0.067,0,https://m.place.naver.com/restaurant/1289022009/review/visitor
낭만반점,0.338,0.176,0.059,0.088,0.132,0.088,0.044,0.074,0,https://m.place.naver.com/restaurant/1197419444/review/visitor
서대문 양꼬치 BAR,0.49,0.146,0.155,0.034,0.068,0.068,0.039,0,0,https://m.place.naver.com/restaurant/1882480351/review/visitor
조원,0.338,0.169,0.151,0.05,0.079,0.101,0.054,0,0.058,https://m.place.naver.com/restaurant/1956508264/review/visitor
연희면관,0.215,0.177,0.129,0.124,0.129,0.062,0.024,0.057,0.081,https://m.place.naver.com/restaurant/1674391570/review/visitor
춘리마라탕 연남점,0.435,0.13,0.115,0,0.105,0.09,0.075,0,0.05,https://m.place.naver.com/restaurant/36960472/review/visitor
욜로양꼬치,0.4,0.173,0.092,0.081,0.119,0.076,0.059,0,0,https://m.place.naver.com/restaurant/817221434/review/visitor
식공간,0.306,0.18,0.063,0.099,0.09,0.126,0.108,0,0.027,https://m.place.naver.com/restaurant/1371023207/review/visitor
신안동장,0.396,0.16,0.025,0.028,0.079,0.138,0.132,0.011,0.031,https://m.place.naver.com/restaurant/35288238/review/visitor
천리향양꼬치,0.5,0.152,0.116,0.054,0.062,0.062,0.054,0,0,https://m.place.naver.com/restaurant/36379498/review/visitor
명궁,0.386,0.157,0.048,0.048,0.088,0.088,0.1,0,0.084,https://m.place.naver.com/restaurant/1919523487/review/visitor
목란,0.377,0.194,0.184,0.085,0.129,0,0.031,0,0,https://m.place.naver.com/restaurant/11880458/review/visitor
연경 연희점,0.391,0.171,0.137,0.102,0.11,0,0,0.088,0,https://m.place.naver.com/restaurant/1721729164/review/visitor
중화복춘 골드,0.3,0.148,0.17,0.055,0.139,0,0.101,0.086,0,https://m.place.naver.com/restaurant/1038777225/review/visitor
맛이차이나,0.478,0.145,0.098,0.099,0.118,0.062,0,0,0,https://m.place.naver.com/restaurant/31777479/review/visitor
건륭산시도삭면 신촌본점,0.348,0.096,0.146,0.08,0.058,0.111,0.082,0,0.077,https://m.place.naver.com/restaurant/1538145919/review/visitor
이품,0.472,0.133,0.059,0.055,0.113,0.07,0.052,0,0.044,https://m.place.naver.com/restaurant/19877438/review/visitor
이화원,0.474,0.187,0.111,0.072,0.105,0,0,0.051,0,https://m.place.naver.com/restaurant/11555246/review/visitor
만두란,0.368,0.127,0.148,0.044,0.093,0.098,0.023,0.003,0.095,https://m.place.naver.com/restaurant/1440248977/review/visitor
가원,0.421,0.138,0.147,0.027,0.079,0.06,0.08,0,0.048,https://m.place.naver.com/restaurant/13371744/review/visitor
복성각,0.434,0.172,0.065,0.04,0.065,0.076,0.11,0,0.038,https://m.place.naver.com/restaurant/35624223/review/visitor
락희안 가좌본점,0.399,0.145,0.127,0.093,0.135,0.053,0.047,0,0,https://m.place.naver.com/restaurant/1378496863/review/visitor
연희동 라이라이 본점,0.455,0.085,0.172,0.03,0.085,0.061,0.079,0,0.034,https://m.place.naver.com/restaurant/1588882724/review/visitor
진미,0.39,0.146,0.166,0.047,0.106,0.101,0,0,0.043,https://m.place.naver.com/restaurant/1902737844/review/visitor
시시,0.243,0.199,0.124,0.127,0.131,0.056,0.048,0,0.072,https://m.place.naver.com/restaurant/1144111526/review/visitor
오향만두,0.441,0.106,0.128,0.014,0.087,0.12,0.053,0.004,0.047,https://m.place.naver.com/restaurant/32875867/review/visitor
3대천왕 복성 신촌점,0.35,0.139,0.084,0.117,0.117,0.084,0.091,0,0.018,https://m.place.naver.com/restaurant/1275129415/review/visitor
가화만사성,0.379,0.128,0.032,0.032,0.059,0.174,0.119,0,0.078,https://m.place.naver.com/restaurant/620146107/review/visitor
금문중화요리,0.377,0.136,0.044,0.052,0.082,0.101,0.128,0,0.079,https://m.place.naver.com/restaurant/1675859519/review/visitor
화수목,0.495,0.159,0.042,0.121,0.118,0,0,0.066,0,https://m.place.naver.com/restaurant/13142739/review/visitor
춘풍식리양꼬치,0.273,0.145,0.182,0.055,0.073,0.127,0.109,0.036,0,https://m.place.naver.com/restaurant/1659238411/review/visitor
북경,0.388,0.117,0.037,0.081,0.069,0.079,0.117,0,0.112,https://m.place.naver.com/restaurant/1489541086/review/visitor
연천홍,0.398,0.174,0.04,0.045,0.053,0.112,0.093,0,0.086,https://m.place.naver.com/restaurant/1006865072/review/visitor
천궁전마라탕,0.292,0.146,0.028,0.105,0.14,0.106,0.067,0,0.115,https://m.place.naver.com/restaurant/1165014501/review/visitor
길상양꼬치,0.453,0.101,0.126,0.031,0.094,0.113,0.082,0,0,https://m.place.naver.com/restaurant/38562925/review/visitor
연남토마 연남본점,0.352,0.191,0.103,0.095,0.077,0.041,0.043,0.098,0,https://m.place.naver.com/restaurant/1229825670/review/visitor
파델라,0.377,0.123,0.166,0.056,0.109,0.081,0.039,0.048,0,https://m.place.naver.com/restaurant/1513690097/review/visitor
문득 연남점,0.237,0.143,0.135,0.103,0.092,0.084,0.087,0.119,0,https://m.place.naver.com/restaurant/1599768379/review/visitor
젠틀키친,0.29,0.172,0.192,0.095,0.126,0.027,0,0.098,0,https://m.place.naver.com/restaurant/37411506/review/visitor
오스테리아 포레스트,0.255,0.171,0.138,0.14,0.113,0.033,0.027,0.122,0,https://m.place.naver.com/restaurant/1789649730/review/visitor
커들룸 연남,0.222,0.182,0.121,0.141,0.04,0.04,0.04,0.212,0,https://m.place.naver.com/restaurant/1071880318/review/visitor
오늘그대와,0.345,0.174,0.082,0.088,0.07,0.048,0.038,0.155,0,https://m.place.naver.com/restaurant/1064804903/review/visitor
제스티살룬 연남,0.383,0.114,0.144,0.076,0.09,0,0.036,0.114,0.043,https://m.place.naver.com/restaurant/1902874356/review/visitor
뉴오더클럽 연남,0.386,0.156,0.132,0.051,0.056,0.033,0.068,0.118,0,https://m.place.naver.com/restaurant/1173480601/review/visitor
리리코 연남,0.296,0.194,0.052,0,0.147,0.058,0,0.253,0,https://m.place.naver.com/restaurant/1841187535/review/visitor
갓잇 연남점,0.41,0.137,0.111,0.069,0.106,0.033,0.065,0.069,0,https://m.place.naver.com/restaurant/1690354455/review/visitor
아노브 연남,0.472,0.106,0.107,0.063,0.082,0,0.046,0.125,0,https://m.place.naver.com/restaurant/1561609662/review/visitor
오뗄드꾸뜨,0.261,0.157,0.154,0.116,0.073,0,0.029,0.209,0,https://m.place.naver.com/restaurant/1577648959/review/visitor
데일리라운드,0.245,0.144,0.126,0.105,0.12,0.079,0.044,0.138,0,https://m.place.naver.com/restaurant/34079145/review/visitor
오마,0.348,0.171,0.125,0.09,0.089,0.037,0.024,0.116,0,https://m.place.naver.com/restaurant/1404784472/review/visitor
연남동느루,0.315,0.185,0.135,0.072,0.129,0.065,0.034,0.065,0,https://m.place.naver.com/restaurant/36523247/review/visitor
클래식당,0.361,0.195,0.114,0.062,0.09,0.056,0,0.122,0,https://m.place.naver.com/restaurant/1398031150/review/visitor
연남동 베르데,0.384,0.142,0.137,0.049,0.097,0.046,0.067,0.079,0,https://m.place.naver.com/restaurant/1951314959/review/visitor
수부니흐,0.31,0.14,0.188,0.08,0.089,0.061,0.019,0.113,0,https://m.place.naver.com/restaurant/135080827/review/visitor
밀라노식당,0.31,0.167,0.129,0.085,0.098,0.049,0.02,0.143,0,https://m.place.naver.com/restaurant/1309585620/review/visitor
리틀타코바 연남,0.319,0.231,0.094,0.143,0.155,0,0,0.058,0,https://m.place.naver.com/restaurant/1827984629/review/visitor
연주방어페어,0.321,0.231,0.184,0.06,0.037,0,0,0.167,0,https://m.place.naver.com/restaurant/1623995485/review/visitor
차만다 연남점,0.274,0.156,0.203,0.121,0.073,0,0,0.173,0,https://m.place.naver.com/restaurant/1406467432/review/visitor
그리스마스,0.226,0.192,0.167,0.072,0.141,0.049,0.044,0.109,0,https://m.place.naver.com/restaurant/1662314437/review/visitor
플롭 연남,0.329,0.133,0.146,0.107,0.054,0,0.045,0.185,0,https://m.place.naver.com/restaurant/1136436599/review/visitor
이석덕생면파스타,0.252,0.125,0.095,0.06,0.109,0.213,0.05,0.076,0.019,https://m.place.naver.com/restaurant/1747116056/review/visitor
퍼프 오지코스트,0.267,0.205,0.092,0.098,0.131,0,0.057,0.149,0,https://m.place.naver.com/restaurant/1390349194/review/visitor
위샐러듀 다이닝,0.204,0.145,0.158,0.084,0.153,0,0.097,0.124,0.034,https://m.place.naver.com/restaurant/1775967927/review/visitor
버우드,0.267,0.186,0.107,0.091,0.164,0.027,0,0.14,0.018,https://m.place.naver.com/restaurant/1198311937/review/visitor
백스트리트피자,0.349,0.123,0.131,0.061,0.051,0.037,0.123,0.124,0,https://m.place.naver.com/restaurant/1033432893/review/visitor
