가게 이름,1,인원 수,2,인원 수,3,인원 수,4,인원 수,5,인원 수,6,인원 수,7,인원 수,8,인원 수,9,인원 수,10,인원 수,
디트로이트 피지스,음식이 맛있어요,143,친절해요,92,인테리어가 멋져요,82,음악이 좋아요,56,매장이 청결해요,49,재료가 신선해요,45,특별한 메뉴가 있어요,42,가성비가 좋아요,36,뷰가 좋아요,30,컨셉이 독특해요,26,https://m.place.naver.com/restaurant/1342595020/review/visitor
썸모어델리,음식이 맛있어요,130,특별한 메뉴가 있어요,59,친절해요,58,재료가 신선해요,51,인테리어가 멋져요,41,매장이 청결해요,34,뷰가 좋아요,20,특별한 날 가기 좋아요,19,혼밥하기 좋아요,7,화장실이 깨끗해요,6,https://m.place.naver.com/restaurant/1669511347/review/visitor
판초,인테리어가 멋져요,18,친절해요,18,음식이 맛있어요,17,재료가 신선해요,11,매장이 청결해요,10,특별한 메뉴가 있어요,7,화장실이 깨끗해요,4,특별한 날 가기 좋아요,3,건강한 맛이에요,2,차분한 분위기에요,1,https://m.place.naver.com/restaurant/1530993164/review/visitor
니꾸킹버거,음식이 맛있어요,579,친절해요,388,특별한 메뉴가 있어요,304,매장이 청결해요,271,재료가 신선해요,224,인테리어가 멋져요,179,혼밥하기 좋아요,119,양이 많아요,109,가성비가 좋아요,76,화장실이 깨끗해요,45,https://m.place.naver.com/restaurant/1732651729/review/visitor
문,음식이 맛있어요,166,특별한 메뉴가 있어요,86,친절해요,83,특별한 날 가기 좋아요,52,재료가 신선해요,41,인테리어가 멋져요,36,매장이 청결해요,33,가성비가 좋아요,22,양이 많아요,18,뷰가 좋아요,12,https://m.place.naver.com/restaurant/37388765/review/visitor
타케리아마차,음식이 맛있어요,25,친절해요,19,특별한 메뉴가 있어요,19,매장이 청결해요,11,재료가 신선해요,10,인테리어가 멋져요,9,가성비가 좋아요,4,혼밥하기 좋아요,3,매장이 넓어요,3,특별한 날 가기 좋아요,3,https://m.place.naver.com/restaurant/1497061118/review/visitor
다옴383,음식이 맛있어요,466,친절해요,283,특별한 날 가기 좋아요,191,인테리어가 멋져요,171,특별한 메뉴가 있어요,157,재료가 신선해요,134,매장이 청결해요,114,가성비가 좋아요,88,양이 많아요,56,화장실이 깨끗해요,24,https://m.place.naver.com/restaurant/1760281675/review/visitor
연남동질리,음식이 맛있어요,212,가성비가 좋아요,103,친절해요,62,재료가 신선해요,57,양이 많아요,51,인테리어가 멋져요,30,특별한 메뉴가 있어요,26,혼밥하기 좋아요,20,매장이 청결해요,18,특별한 날 가기 좋아요,14,https://m.place.naver.com/restaurant/1733564552/review/visitor
에트나퓨,음식이 맛있어요,325,친절해요,222,특별한 메뉴가 있어요,157,재료가 신선해요,126,가성비가 좋아요,91,특별한 날 가기 좋아요,90,인테리어가 멋져요,86,매장이 청결해요,86,화장실이 깨끗해요,39,양이 많아요,23,https://m.place.naver.com/restaurant/1922159413/review/visitor
비스트로가마,음식이 맛있어요,95,친절해요,62,특별한 날 가기 좋아요,49,특별한 메뉴가 있어요,47,재료가 신선해요,32,인테리어가 멋져요,32,매장이 청결해요,20,가성비가 좋아요,11,단체모임 하기 좋아요,7,매장이 넓어요,4,https://m.place.naver.com/restaurant/1653955236/review/visitor
메종브리크,음식이 맛있어요,389,친절해요,250,특별한 메뉴가 있어요,229,특별한 날 가기 좋아요,207,인테리어가 멋져요,132,매장이 청결해요,131,재료가 신선해요,129,가성비가 좋아요,78,화장실이 깨끗해요,32,뷰가 좋아요,24,https://m.place.naver.com/restaurant/1655732599/review/visitor
슬로우,음식이 맛있어요,890,인테리어가 멋져요,814,친절해요,718,매장이 청결해요,389,특별한 날 가기 좋아요,382,재료가 신선해요,358,매장이 넓어요,222,특별한 메뉴가 있어요,216,양이 많아요,196,화장실이 깨끗해요,194,https://m.place.naver.com/restaurant/1563749375/review/visitor
윤성용레스토랑,음식이 맛있어요,132,친절해요,71,재료가 신선해요,47,특별한 메뉴가 있어요,47,매장이 청결해요,47,가성비가 좋아요,33,특별한 날 가기 좋아요,26,인테리어가 멋져요,17,단체모임 하기 좋아요,16,양이 많아요,8,https://m.place.naver.com/restaurant/814482112/review/visitor
루바브,음식이 맛있어요,79,친절해요,48,특별한 메뉴가 있어요,48,재료가 신선해요,30,인테리어가 멋져요,26,매장이 청결해요,24,특별한 날 가기 좋아요,9,뷰가 좋아요,9,혼밥하기 좋아요,7,매장이 넓어요,7,https://m.place.naver.com/restaurant/1124107346/review/visitor
클래식당2nd,음식이 맛있어요,418,인테리어가 멋져요,229,친절해요,223,특별한 메뉴가 있어요,186,재료가 신선해요,163,매장이 청결해요,154,특별한 날 가기 좋아요,124,가성비가 좋아요,40,뷰가 좋아요,40,양이 많아요,24,https://m.place.naver.com/restaurant/1633696121/review/visitor
레스토랑오브편,음식이 맛있어요,135,친절해요,109,재료가 신선해요,83,특별한 날 가기 좋아요,75,매장이 청결해요,72,인테리어가 멋져요,63,가성비가 좋아요,54,특별한 메뉴가 있어요,46,양이 많아요,17,뷰가 좋아요,14,https://m.place.naver.com/restaurant/1512204809/review/visitor
보르도,음식이 맛있어요,273,인테리어가 멋져요,236,친절해요,194,특별한 날 가기 좋아요,110,특별한 메뉴가 있어요,109,재료가 신선해요,107,매장이 청결해요,89,가성비가 좋아요,38,화장실이 깨끗해요,33,대화하기 좋아요,28,https://m.place.naver.com/restaurant/1089182742/review/visitor
쥬벤쿠바 연남점,음식이 맛있어요,1090,친절해요,895,매장이 청결해요,741,특별한 메뉴가 있어요,736,가성비가 좋아요,642,인테리어가 멋져요,202,특별한 날 가기 좋아요,189,재료가 신선해요,159,양이 많아요,151,뷰가 좋아요,80,https://m.place.naver.com/restaurant/1324132180/review/visitor
업투미,음식이 맛있어요,170,친절해요,118,재료가 신선해요,113,특별한 메뉴가 있어요,108,특별한 날 가기 좋아요,104,매장이 청결해요,75,인테리어가 멋져요,72,가성비가 좋아요,72,양이 많아요,42,화장실이 깨끗해요,17,https://m.place.naver.com/restaurant/1521280467/review/visitor
연남동 수제버거 펄시티버거,음식이 맛있어요,872,매장이 청결해요,441,친절해요,425,인테리어가 멋져요,372,재료가 신선해요,358,혼밥하기 좋아요,351,특별한 메뉴가 있어요,259,양이 많아요,170,가성비가 좋아요,153,매장이 넓어요,31,https://m.place.naver.com/restaurant/1811467331/review/visitor
탐키친,음식이 맛있어요,80,친절해요,49,인테리어가 멋져요,45,매장이 청결해요,31,재료가 신선해요,30,가성비가 좋아요,23,특별한 메뉴가 있어요,22,양이 많아요,17,특별한 날 가기 좋아요,16,화장실이 깨끗해요,8,https://m.place.naver.com/restaurant/1652245687/review/visitor
헤도네,음식이 맛있어요,113,친절해요,84,특별한 날 가기 좋아요,76,매장이 청결해요,55,인테리어가 멋져요,51,특별한 메뉴가 있어요,51,재료가 신선해요,43,화장실이 깨끗해요,17,양이 많아요,7,가성비가 좋아요,4,https://m.place.naver.com/restaurant/1620268506/review/visitor
밥스바비 연남점,음식이 맛있어요,106,친절해요,46,가성비가 좋아요,33,인테리어가 멋져요,32,혼밥하기 좋아요,26,특별한 메뉴가 있어요,26,재료가 신선해요,19,매장이 청결해요,14,양이 많아요,11,매장이 넓어요,9,https://m.place.naver.com/restaurant/36046893/review/visitor
봄띠,음식이 맛있어요,128,양이 많아요,66,인테리어가 멋져요,63,친절해요,55,특별한 메뉴가 있어요,34,매장이 청결해요,32,특별한 날 가기 좋아요,18,매장이 넓어요,16,가성비가 좋아요,15,재료가 신선해요,13,https://m.place.naver.com/restaurant/1612138237/review/visitor
연남동와이탑,음식이 맛있어요,586,친절해요,539,인테리어가 멋져요,418,특별한 메뉴가 있어요,338,매장이 청결해요,332,특별한 날 가기 좋아요,328,매장이 넓어요,161,단체모임 하기 좋아요,134,재료가 신선해요,125,뷰가 좋아요,112,https://m.place.naver.com/restaurant/1978161435/review/visitor
비스트로 오라,음식이 맛있어요,864,친절해요,675,인테리어가 멋져요,565,특별한 날 가기 좋아요,560,가성비가 좋아요,375,매장이 청결해요,280,재료가 신선해요,184,메뉴 구성이 알차요,166,특별한 메뉴가 있어요,143,사진이 잘 나와요,123,https://m.place.naver.com/restaurant/1275815754/review/visitor
마나올라나,음식이 맛있어요,150,재료가 신선해요,77,친절해요,54,매장이 청결해요,34,혼밥하기 좋아요,25,특별한 메뉴가 있어요,24,인테리어가 멋져요,19,가성비가 좋아요,18,양이 많아요,13,화장실이 깨끗해요,5,https://m.place.naver.com/restaurant/1816828256/review/visitor
해피치즈스마일 연남점,음식이 맛있어요,1509,친절해요,854,특별한 메뉴가 있어요,640,매장이 청결해요,581,인테리어가 멋져요,517,양이 많아요,508,가성비가 좋아요,414,재료가 신선해요,191,매장이 넓어요,183,뷰가 좋아요,118,https://m.place.naver.com/restaurant/1334089514/review/visitor
올바른김밥,음식이 맛있어요,929,재료가 신선해요,610,특별한 메뉴가 있어요,563,혼밥하기 좋아요,388,친절해요,332,가성비가 좋아요,142,매장이 청결해요,121,양이 많아요,101,인테리어가 멋져요,9,건강한 맛이에요,9,https://m.place.naver.com/restaurant/703816866/review/visitor
그동네떡볶이 연남점,음식이 맛있어요,964,가성비가 좋아요,572,매장이 청결해요,528,친절해요,509,양이 많아요,487,특별한 메뉴가 있어요,406,혼밥하기 좋아요,249,재료가 신선해요,200,인테리어가 멋져요,196,매장이 넓어요,158,https://m.place.naver.com/restaurant/1753800653/review/visitor
산동꾸냥수제만두,음식이 맛있어요,62,특별한 메뉴가 있어요,35,혼밥하기 좋아요,22,가성비가 좋아요,18,친절해요,17,재료가 신선해요,13,인테리어가 멋져요,5,양이 많아요,4,특별한 날 가기 좋아요,1,매장이 청결해요,1,https://m.place.naver.com/restaurant/1180776943/review/visitor
분식,음식이 맛있어요,16,친절해요,12,재료가 신선해요,10,특별한 메뉴가 있어요,8,매장이 청결해요,8,특별한 날 가기 좋아요,5,양이 많아요,4,인테리어가 멋져요,3,혼밥하기 좋아요,2,가성비가 좋아요,1,https://m.place.naver.com/restaurant/1547395711/review/visitor
홍쌤떡볶이 연남점,음식이 맛있어요,380,가성비가 좋아요,188,친절해요,144,혼밥하기 좋아요,90,양이 많아요,77,재료가 신선해요,57,매장이 청결해요,38,특별한 메뉴가 있어요,17,인테리어가 멋져요,6,화장실이 깨끗해요,5,https://m.place.naver.com/restaurant/1644448362/review/visitor
우리할매떡볶이 연남점,음식이 맛있어요,496,친절해요,216,가성비가 좋아요,182,매장이 청결해요,113,혼밥하기 좋아요,103,양이 많아요,75,특별한 메뉴가 있어요,62,재료가 신선해요,49,뷰가 좋아요,28,인테리어가 멋져요,14,https://m.place.naver.com/restaurant/1231534281/review/visitor
삼첩분식 마포점,음식이 맛있어요,80,특별한 메뉴가 있어요,26,가성비가 좋아요,23,양이 많아요,22,재료가 신선해요,18,친절해요,18,매장이 청결해요,4,혼밥하기 좋아요,2,주차하기 편해요,1,특별한 날 가기 좋아요,1,https://m.place.naver.com/restaurant/1551455274/review/visitor
천국이네김밥,음식이 맛있어요,81,가성비가 좋아요,52,혼밥하기 좋아요,49,친절해요,33,양이 많아요,27,재료가 신선해요,12,특별한 메뉴가 있어요,8,매장이 청결해요,7,단체모임 하기 좋아요,4,주차하기 편해요,3,https://m.place.naver.com/restaurant/31098755/review/visitor
소풍김밥,음식이 맛있어요,149,가성비가 좋아요,80,혼밥하기 좋아요,64,친절해요,63,재료가 신선해요,36,양이 많아요,34,매장이 청결해요,19,특별한 메뉴가 있어요,8,주차하기 편해요,3,인테리어가 멋져요,1,https://m.place.naver.com/restaurant/34350404/review/visitor
김밥세상 연남점,음식이 맛있어요,143,친절해요,79,가성비가 좋아요,73,혼밥하기 좋아요,68,양이 많아요,42,재료가 신선해요,24,매장이 청결해요,7,특별한 메뉴가 있어요,5,매장이 넓어요,4,인테리어가 멋져요,2,https://m.place.naver.com/restaurant/11387630/review/visitor
부에노떡볶이 서교본점,음식이 맛있어요,15,가성비가 좋아요,8,친절해요,3,양이 많아요,3,재료가 신선해요,1,인테리어가 멋져요,1,특별한 메뉴가 있어요,1,매장이 청결해요,1,단체모임 하기 좋아요,1,,,https://m.place.naver.com/restaurant/38291358/review/visitor
김밥세상 연남동2호점,음식이 맛있어요,32,혼밥하기 좋아요,12,친절해요,10,가성비가 좋아요,10,재료가 신선해요,4,양이 많아요,2,매장이 청결해요,1,단체모임 하기 좋아요,1,,,,,https://m.place.naver.com/restaurant/11864731/review/visitor
선학분식,음식이 맛있어요,37,친절해요,18,가성비가 좋아요,14,혼밥하기 좋아요,12,재료가 신선해요,8,양이 많아요,7,특별한 메뉴가 있어요,6,매장이 청결해요,3,인테리어가 멋져요,2,매장이 넓어요,2,https://m.place.naver.com/restaurant/18372421/review/visitor
홍익분식,음식이 맛있어요,25,가성비가 좋아요,25,혼밥하기 좋아요,15,친절해요,13,양이 많아요,12,재료가 신선해요,6,매장이 청결해요,2,주차하기 편해요,1,화장실이 깨끗해요,1,,,https://m.place.naver.com/restaurant/31392640/review/visitor
합정조이떡볶이,음식이 맛있어요,427,가성비가 좋아요,195,친절해요,191,양이 많아요,107,혼밥하기 좋아요,101,재료가 신선해요,37,매장이 청결해요,21,특별한 메뉴가 있어요,19,매장이 넓어요,7,인테리어가 멋져요,4,https://m.place.naver.com/restaurant/1747711449/review/visitor
무궁화타운 홍대점,음식이 맛있어요,46,혼밥하기 좋아요,25,친절해요,23,가성비가 좋아요,22,인테리어가 멋져요,17,매장이 청결해요,14,양이 많아요,10,특별한 메뉴가 있어요,8,재료가 신선해요,7,매장이 넓어요,7,https://m.place.naver.com/restaurant/1847343692/review/visitor
봉구가래떡볶이 홍대점,음식이 맛있어요,153,친절해요,72,가성비가 좋아요,67,특별한 메뉴가 있어요,54,매장이 청결해요,51,혼밥하기 좋아요,50,양이 많아요,47,재료가 신선해요,34,매장이 넓어요,15,인테리어가 멋져요,12,https://m.place.naver.com/restaurant/1734153618/review/visitor
옥희네 떡볶이,음식이 맛있어요,155,친절해요,102,가성비가 좋아요,98,혼밥하기 좋아요,87,매장이 청결해요,73,매장이 넓어요,46,양이 많아요,36,특별한 메뉴가 있어요,31,재료가 신선해요,30,화장실이 깨끗해요,22,https://m.place.naver.com/restaurant/1927893209/review/visitor
키토분식 동교점,음식이 맛있어요,120,혼밥하기 좋아요,89,재료가 신선해요,61,특별한 메뉴가 있어요,56,친절해요,49,매장이 청결해요,33,가성비가 좋아요,25,양이 많아요,9,인테리어가 멋져요,4,주차하기 편해요,2,https://m.place.naver.com/restaurant/1984185113/review/visitor
신공주떡볶이,음식이 맛있어요,85,재료가 신선해요,28,친절해요,28,매장이 청결해요,28,가성비가 좋아요,23,특별한 메뉴가 있어요,23,양이 많아요,15,혼밥하기 좋아요,9,인테리어가 멋져요,2,,,https://m.place.naver.com/restaurant/1660061899/review/visitor
홍대씨부엉,음식이 맛있어요,256,특별한 메뉴가 있어요,135,친절해요,129,재료가 신선해요,57,가성비가 좋아요,56,양이 많아요,54,인테리어가 멋져요,28,매장이 청결해요,23,특별한 날 가기 좋아요,9,단체모임 하기 좋아요,9,https://m.place.naver.com/restaurant/1553150505/review/visitor
또보겠지떡볶이집 붕붕허니비점,음식이 맛있어요,696,친절해요,286,특별한 메뉴가 있어요,203,가성비가 좋아요,170,양이 많아요,142,재료가 신선해요,128,인테리어가 멋져요,86,매장이 청결해요,72,특별한 날 가기 좋아요,18,매장이 넓어요,17,https://m.place.naver.com/restaurant/37663862/review/visitor
키친봄날,음식이 맛있어요,1161,재료가 신선해요,777,특별한 메뉴가 있어요,526,친절해요,500,양이 많아요,390,가성비가 좋아요,288,매장이 청결해요,150,혼밥하기 좋아요,124,인테리어가 멋져요,28,포장이 깔끔해요,16,https://m.place.naver.com/restaurant/37578215/review/visitor
또보겠지떡볶이집 신촌히어로점,음식이 맛있어요,600,친절해요,284,특별한 메뉴가 있어요,136,가성비가 좋아요,111,매장이 넓어요,110,재료가 신선해요,105,양이 많아요,97,인테리어가 멋져요,85,매장이 청결해요,85,단체모임 하기 좋아요,21,https://m.place.naver.com/restaurant/37663300/review/visitor
그동네떡볶이 홍대본점,음식이 맛있어요,579,특별한 메뉴가 있어요,198,가성비가 좋아요,149,친절해요,114,양이 많아요,113,혼밥하기 좋아요,100,재료가 신선해요,55,매장이 청결해요,21,인테리어가 멋져요,11,특별한 날 가기 좋아요,7,https://m.place.naver.com/restaurant/32481151/review/visitor
또보겠지떡볶이집 호호시스터점,음식이 맛있어요,542,특별한 메뉴가 있어요,129,친절해요,127,가성비가 좋아요,99,양이 많아요,92,재료가 신선해요,82,인테리어가 멋져요,42,매장이 청결해요,22,뷰가 좋아요,13,특별한 날 가기 좋아요,8,https://m.place.naver.com/restaurant/37663561/review/visitor
홍대조폭떡볶이 홍대2호점,음식이 맛있어요,980,가성비가 좋아요,416,혼밥하기 좋아요,313,매장이 넓어요,208,친절해요,194,양이 많아요,182,매장이 청결해요,106,재료가 신선해요,87,특별한 메뉴가 있어요,65,인테리어가 멋져요,34,https://m.place.naver.com/restaurant/35560276/review/visitor
홍마떡 홍대본점,음식이 맛있어요,329,친절해요,96,특별한 메뉴가 있어요,95,양이 많아요,86,가성비가 좋아요,77,매장이 청결해요,49,재료가 신선해요,45,혼밥하기 좋아요,28,매장이 넓어요,25,인테리어가 멋져요,17,https://m.place.naver.com/restaurant/37179366/review/visitor
불떡클럽 연남본점,음식이 맛있어요,1221,친절해요,852,인테리어가 멋져요,686,매장이 청결해요,549,뷰가 좋아요,343,양이 많아요,338,특별한 메뉴가 있어요,337,가성비가 좋아요,187,매장이 넓어요,180,재료가 신선해요,143,https://m.place.naver.com/restaurant/1440779896/review/visitor
김사또상수본점,음식이 맛있어요,164,가성비가 좋아요,92,친절해요,84,양이 많아요,72,특별한 메뉴가 있어요,41,재료가 신선해요,31,매장이 청결해요,18,인테리어가 멋져요,10,혼밥하기 좋아요,8,매장이 넓어요,8,https://m.place.naver.com/restaurant/37093263/review/visitor
자성당,음식이 맛있어요,234,특별한 메뉴가 있어요,89,혼밥하기 좋아요,67,양이 많아요,51,가성비가 좋아요,50,재료가 신선해요,43,친절해요,26,매장이 청결해요,12,주차하기 편해요,2,매장이 넓어요,2,https://m.place.naver.com/restaurant/34959252/review/visitor
연희김밥 본점,음식이 맛있어요,1346,특별한 메뉴가 있어요,347,재료가 신선해요,340,가성비가 좋아요,328,친절해요,291,양이 많아요,131,혼밥하기 좋아요,119,매장이 청결해요,52,특별한 날 가기 좋아요,12,인테리어가 멋져요,11,https://m.place.naver.com/restaurant/18752158/review/visitor
만냥하우스,음식이 맛있어요,54,가성비가 좋아요,51,양이 많아요,19,친절해요,17,특별한 메뉴가 있어요,16,재료가 신선해요,9,단체모임 하기 좋아요,8,혼밥하기 좋아요,3,인테리어가 멋져요,1,주차하기 편해요,1,https://m.place.naver.com/restaurant/1070522601/review/visitor
홍대삭 상수본점,음식이 맛있어요,513,가성비가 좋아요,192,친절해요,145,특별한 메뉴가 있어요,128,양이 많아요,99,재료가 신선해요,90,혼밥하기 좋아요,86,매장이 청결해요,7,매장이 넓어요,5,특별한 날 가기 좋아요,5,https://m.place.naver.com/restaurant/11856660/review/visitor
참바른김밥,음식이 맛있어요,238,친절해요,163,재료가 신선해요,140,양이 많아요,106,가성비가 좋아요,98,혼밥하기 좋아요,89,특별한 메뉴가 있어요,59,매장이 청결해요,53,매장이 넓어요,7,인테리어가 멋져요,5,https://m.place.naver.com/restaurant/1027321167/review/visitor
또보겠지떡볶이집 호호피크닉점,음식이 맛있어요,196,친절해요,63,특별한 메뉴가 있어요,53,재료가 신선해요,47,양이 많아요,37,가성비가 좋아요,34,매장이 청결해요,30,인테리어가 멋져요,23,매장이 넓어요,21,단체모임 하기 좋아요,7,https://m.place.naver.com/restaurant/1732575894/review/visitor
유자유김치떡볶이 신촌점,음식이 맛있어요,154,특별한 메뉴가 있어요,87,양이 많아요,84,친절해요,65,가성비가 좋아요,45,매장이 넓어요,35,단체모임 하기 좋아요,21,재료가 신선해요,19,매장이 청결해요,16,혼밥하기 좋아요,6,https://m.place.naver.com/restaurant/1197641297/review/visitor
삼청당 홍대본점,음식이 맛있어요,1073,혼밥하기 좋아요,854,재료가 신선해요,544,특별한 메뉴가 있어요,495,친절해요,393,매장이 청결해요,367,가성비가 좋아요,274,양이 많아요,222,인테리어가 멋져요,138,뷰가 좋아요,18,https://m.place.naver.com/restaurant/1923547109/review/visitor
또보겠지떡볶이 해피토스점,음식이 맛있어요,354,친절해요,132,특별한 메뉴가 있어요,76,가성비가 좋아요,68,양이 많아요,57,매장이 청결해요,53,인테리어가 멋져요,51,재료가 신선해요,46,화장실이 깨끗해요,14,매장이 넓어요,6,https://m.place.naver.com/restaurant/1489217680/review/visitor
또보겠지떡볶이집 깐따삐아점,음식이 맛있어요,423,친절해요,169,특별한 메뉴가 있어요,90,가성비가 좋아요,88,양이 많아요,77,재료가 신선해요,74,매장이 청결해요,66,인테리어가 멋져요,61,화장실이 깨끗해요,12,매장이 넓어요,11,https://m.place.naver.com/restaurant/1068496177/review/visitor
또보겠지떡볶이집 스마일보이점,음식이 맛있어요,345,친절해요,116,특별한 메뉴가 있어요,79,가성비가 좋아요,72,재료가 신선해요,66,양이 많아요,57,인테리어가 멋져요,37,매장이 청결해요,17,혼밥하기 좋아요,9,특별한 날 가기 좋아요,9,https://m.place.naver.com/restaurant/1499118397/review/visitor
남북통일,음식이 맛있어요,368,양이 많아요,121,특별한 메뉴가 있어요,91,친절해요,81,재료가 신선해요,65,가성비가 좋아요,64,혼밥하기 좋아요,58,매장이 넓어요,42,매장이 청결해요,23,단체모임 하기 좋아요,20,https://m.place.naver.com/restaurant/11710184/review/visitor
테라김밥 홍대본점,음식이 맛있어요,394,혼밥하기 좋아요,140,특별한 메뉴가 있어요,123,가성비가 좋아요,88,재료가 신선해요,76,친절해요,65,양이 많아요,43,매장이 넓어요,39,매장이 청결해요,32,인테리어가 멋져요,10,https://m.place.naver.com/restaurant/1068082260/review/visitor
남도분식 현대백화점 신촌점,음식이 맛있어요,130,친절해요,46,혼밥하기 좋아요,37,특별한 메뉴가 있어요,19,가성비가 좋아요,18,매장이 청결해요,18,재료가 신선해요,13,화장실이 깨끗해요,12,주차하기 편해요,8,양이 많아요,7,https://m.place.naver.com/restaurant/1274942536/review/visitor
구복,음식이 맛있어요,58,특별한 메뉴가 있어요,32,혼밥하기 좋아요,29,친절해요,17,가성비가 좋아요,14,재료가 신선해요,12,양이 많아요,9,매장이 청결해요,5,화장실이 깨끗해요,2,인테리어가 멋져요,1,https://m.place.naver.com/restaurant/13415930/review/visitor
떡볶이농장 홍대점,음식이 맛있어요,36,가성비가 좋아요,17,혼밥하기 좋아요,15,양이 많아요,15,특별한 메뉴가 있어요,15,매장이 청결해요,15,친절해요,13,매장이 넓어요,10,인테리어가 멋져요,9,재료가 신선해요,3,https://m.place.naver.com/restaurant/1989409935/review/visitor
이가네떡볶이,음식이 맛있어요,371,친절해요,167,특별한 메뉴가 있어요,131,혼밥하기 좋아요,114,가성비가 좋아요,95,재료가 신선해요,68,양이 많아요,67,매장이 청결해요,40,특별한 날 가기 좋아요,6,화장실이 깨끗해요,6,https://m.place.naver.com/restaurant/1267420142/review/visitor
연우김밥 성산점,음식이 맛있어요,354,재료가 신선해요,170,혼밥하기 좋아요,128,친절해요,105,특별한 메뉴가 있어요,86,가성비가 좋아요,81,양이 많아요,49,매장이 청결해요,34,화장실이 깨끗해요,7,특별한 날 가기 좋아요,6,https://m.place.naver.com/restaurant/1941396436/review/visitor
싸다김밥 홍대역점,음식이 맛있어요,580,혼밥하기 좋아요,429,가성비가 좋아요,371,양이 많아요,183,친절해요,167,재료가 신선해요,131,매장이 청결해요,114,매장이 넓어요,57,특별한 메뉴가 있어요,57,인테리어가 멋져요,12,https://m.place.naver.com/restaurant/1941805575/review/visitor
소풍가는날,음식이 맛있어요,181,친절해요,109,재료가 신선해요,102,혼밥하기 좋아요,97,매장이 청결해요,91,포장이 깔끔해요,77,특별한 메뉴가 있어요,69,건강한 맛이에요,56,양이 많아요,46,인테리어가 멋져요,18,https://m.place.naver.com/restaurant/1976241690/review/visitor
보물섬김밥,음식이 맛있어요,295,친절해요,110,재료가 신선해요,106,가성비가 좋아요,69,특별한 메뉴가 있어요,61,양이 많아요,48,혼밥하기 좋아요,26,매장이 청결해요,16,매장이 넓어요,5,인테리어가 멋져요,4,https://m.place.naver.com/restaurant/35769408/review/visitor
무타리,음식이 맛있어요,72,친절해요,38,양이 많아요,27,가성비가 좋아요,24,특별한 메뉴가 있어요,17,재료가 신선해요,14,매장이 청결해요,14,인테리어가 멋져요,6,매장이 넓어요,6,혼밥하기 좋아요,4,https://m.place.naver.com/restaurant/1886256841/review/visitor
마포만두 합정점,음식이 맛있어요,347,가성비가 좋아요,200,혼밥하기 좋아요,192,친절해요,133,매장이 넓어요,82,양이 많아요,66,특별한 메뉴가 있어요,59,재료가 신선해요,47,매장이 청결해요,46,화장실이 깨끗해요,16,https://m.place.naver.com/restaurant/11721468/review/visitor
두끼 홍대점,음식이 맛있어요,257,가성비가 좋아요,190,양이 많아요,128,친절해요,81,매장이 넓어요,66,재료가 신선해요,59,특별한 메뉴가 있어요,50,매장이 청결해요,33,단체모임 하기 좋아요,21,혼밥하기 좋아요,14,https://m.place.naver.com/restaurant/37288434/review/visitor
청년다방 서울홍대점,음식이 맛있어요,151,친절해요,53,가성비가 좋아요,33,양이 많아요,30,매장이 넓어요,30,매장이 청결해요,23,특별한 메뉴가 있어요,22,재료가 신선해요,14,단체모임 하기 좋아요,8,인테리어가 멋져요,7,https://m.place.naver.com/restaurant/37297965/review/visitor
빨간모자김밥,음식이 맛있어요,489,혼밥하기 좋아요,299,친절해요,299,재료가 신선해요,237,가성비가 좋아요,175,매장이 청결해요,157,특별한 메뉴가 있어요,96,양이 많아요,71,뷰가 좋아요,13,매장이 넓어요,6,https://m.place.naver.com/restaurant/1458651864/review/visitor
훼드라,음식이 맛있어요,13,친절해요,13,특별한 메뉴가 있어요,13,혼밥하기 좋아요,10,가성비가 좋아요,8,인테리어가 멋져요,3,양이 많아요,3,매장이 넓어요,3,재료가 신선해요,2,주차하기 편해요,2,https://m.place.naver.com/restaurant/1674768623/review/visitor
싸다김밥 망원역점,음식이 맛있어요,932,혼밥하기 좋아요,611,가성비가 좋아요,608,친절해요,304,매장이 청결해요,245,재료가 신선해요,207,양이 많아요,194,매장이 넓어요,101,특별한 메뉴가 있어요,87,인테리어가 멋져요,24,https://m.place.naver.com/restaurant/1486848834/review/visitor
김가네김밥 홍대점,음식이 맛있어요,207,혼밥하기 좋아요,95,가성비가 좋아요,71,친절해요,68,양이 많아요,59,재료가 신선해요,20,매장이 청결해요,20,특별한 메뉴가 있어요,14,매장이 넓어요,4,주차하기 편해요,3,https://m.place.naver.com/restaurant/36680775/review/visitor
신흥떡볶이,음식이 맛있어요,17,친절해요,7,혼밥하기 좋아요,6,가성비가 좋아요,3,양이 많아요,2,특별한 메뉴가 있어요,1,매장이 청결해요,1,뷰가 좋아요,1,,,,,https://m.place.naver.com/restaurant/36184127/review/visitor
연희김밥 신촌점,음식이 맛있어요,469,친절해요,144,재료가 신선해요,142,가성비가 좋아요,119,특별한 메뉴가 있어요,75,매장이 청결해요,52,혼밥하기 좋아요,48,양이 많아요,46,화장실이 깨끗해요,6,인테리어가 멋져요,4,https://m.place.naver.com/restaurant/164741744/review/visitor
진만두,음식이 맛있어요,130,특별한 메뉴가 있어요,73,친절해요,52,재료가 신선해요,30,매장이 청결해요,14,가성비가 좋아요,12,인테리어가 멋져요,9,혼밥하기 좋아요,8,특별한 날 가기 좋아요,4,화장실이 깨끗해요,3,https://m.place.naver.com/restaurant/37288686/review/visitor
