가게 이름,1,인원 수,2,인원 수,3,인원 수,4,인원 수,5,인원 수,6,인원 수,7,인원 수,8,인원 수,9,인원 수,10,인원 수,
연남어부,음식이 맛있어요,234,재료가 신선해요,192,친절해요,148,특별한 메뉴가 있어요,94,인테리어가 멋져요,87,뷰가 좋아요,73,매장이 청결해요,68,매장이 넓어요,58,가성비가 좋아요,51,양이 많아요,48,https://m.place.naver.com/restaurant/1351531666/review/visitor
동두천솥뚜껑삼겹살 합정점,음식이 맛있어요,594,가성비가 좋아요,401,양이 많아요,285,친절해요,252,재료가 신선해요,140,단체모임 하기 좋아요,115,매장이 넓어요,95,특별한 메뉴가 있어요,92,고기 질이 좋아요,91,매장이 청결해요,75,https://m.place.naver.com/restaurant/1353043108/review/visitor
교동집,음식이 맛있어요,261,친절해요,59,양이 많아요,46,재료가 신선해요,42,매장이 넓어요,33,특별한 메뉴가 있어요,32,가성비가 좋아요,31,단체모임 하기 좋아요,25,매장이 청결해요,12,화장실이 깨끗해요,9,https://m.place.naver.com/restaurant/13098718/review/visitor
목로관,음식이 맛있어요,524,고기 질이 좋아요,251,친절해요,247,특별한 메뉴가 있어요,219,재료가 신선해요,203,매장이 청결해요,137,직접 잘 구워줘요,94,양이 많아요,92,가성비가 좋아요,86,반찬이 잘 나와요,84,https://m.place.naver.com/restaurant/1996401295/review/visitor
우아하게,음식이 맛있어요,2255,친절해요,1390,인테리어가 멋져요,1165,매장이 청결해요,955,특별한 메뉴가 있어요,937,재료가 신선해요,910,혼밥하기 좋아요,847,특별한 날 가기 좋아요,426,가성비가 좋아요,293,양이 많아요,288,https://m.place.naver.com/restaurant/1129627515/review/visitor
88로타리집 홍대점,음식이 맛있어요,2255,친절해요,1831,가성비가 좋아요,1141,매장이 청결해요,1013,재료가 신선해요,676,양이 많아요,652,단체모임 하기 좋아요,591,매장이 넓어요,517,고기 질이 좋아요,465,인테리어가 멋져요,340,https://m.place.naver.com/restaurant/1159362515/review/visitor
창돈,음식이 맛있어요,85,친절해요,62,고기 질이 좋아요,44,매장이 청결해요,38,특별한 메뉴가 있어요,37,직접 잘 구워줘요,33,재료가 신선해요,31,가성비가 좋아요,12,인테리어가 멋져요,10,양이 많아요,9,https://m.place.naver.com/restaurant/1194347023/review/visitor
태우마 홍대점,음식이 맛있어요,152,친절해요,124,매장이 청결해요,82,재료가 신선해요,70,특별한 메뉴가 있어요,63,가성비가 좋아요,61,특별한 날 가기 좋아요,51,인테리어가 멋져요,43,고기 질이 좋아요,35,매장이 넓어요,31,https://m.place.naver.com/restaurant/1833512887/review/visitor
고기꾼김춘배 홍대본점,음식이 맛있어요,450,친절해요,243,재료가 신선해요,149,단체모임 하기 좋아요,120,매장이 넓어요,115,매장이 청결해요,107,인테리어가 멋져요,98,가성비가 좋아요,92,양이 많아요,67,특별한 메뉴가 있어요,65,https://m.place.naver.com/restaurant/36873920/review/visitor
육성숙,고기 질이 좋아요,78,음식이 맛있어요,69,친절해요,64,매장이 청결해요,48,뷰가 좋아요,30,인테리어가 멋져요,28,매장이 넓어요,27,특별한 메뉴가 있어요,17,직접 잘 구워줘요,14,단체모임 하기 좋아요,13,https://m.place.naver.com/restaurant/1832644987/review/visitor
백년 도담돌솥밥,음식이 맛있어요,420,친절해요,134,재료가 신선해요,123,양이 많아요,87,가성비가 좋아요,80,매장이 청결해요,45,매장이 넓어요,43,차분한 분위기에요,30,반찬이 잘 나와요,29,비싼 만큼 가치있어요,28,https://m.place.naver.com/restaurant/36091096/review/visitor
시장냉면 홍대점,음식이 맛있어요,128,친절해요,72,가성비가 좋아요,64,혼밥하기 좋아요,59,매장이 청결해요,47,양이 많아요,32,재료가 신선해요,25,특별한 메뉴가 있어요,25,인테리어가 멋져요,14,화장실이 깨끗해요,6,https://m.place.naver.com/restaurant/1099670238/review/visitor
청돈옥,고기 질이 좋아요,530,음식이 맛있어요,478,직접 잘 구워줘요,464,친절해요,350,매장이 청결해요,240,특별한 메뉴가 있어요,124,재료가 신선해요,117,메뉴 구성이 알차요,116,인테리어가 멋져요,93,단체모임 하기 좋아요,65,https://m.place.naver.com/restaurant/1272336785/review/visitor
